#BM(C|255),MC(C|255),DESCR(C|4000)
83.8902,筋膜延长术,"IG1,手术1,手术1,1;PJ1,手术1,手术1,1;ZJ1,手术1,手术1,1"
83.8903,筋膜疝修补术,"IG1,手术1,手术1,1;PJ1,手术1,手术1,1;ZJ1,手术1,手术1,1"
83.8904,筋膜折叠术,"IG1,手术1,手术1,1;PJ1,手术1,手术1,1;ZJ1,手术1,手术1,1"
83.8905,筋膜固定术,"IG1,手术1,手术1,1;PJ1,手术1,手术1,1;ZJ1,手术1,手术1,1"
83.9101,肌腱粘连松解术,"IG1,手术1,手术1,1;PJ1,手术1,手术1,1"
83.9102,肌肉粘连松解术,"IG1,手术1,手术1,1;PJ1,手术1,手术1,1"
83.9103,臀筋膜挛缩松解术,"IG1,手术1,手术1,1;PJ1,手术1,手术1,1"
83.9104,筋膜松解术,"IG1,手术1,手术1,1;PJ1,手术1,手术1,1"
83.9105,针刀松解术,"IG1,手术1,手术1,1;PJ1,手术1,手术1,1"
83.9201,骨骼肌刺激器置入术,"IG1,手术1,手术1,1;PJ1,手术1,手术1,1;ZJ1,手术1,手术1,1"
83.9202,骨骼肌刺激器置换术,"IG1,手术1,手术1,1;PJ1,手术1,手术1,1;ZJ1,手术1,手术1,1"
83.9300,去除骨骼肌刺激器,"IG1,手术1,手术1,1;PJ1,手术1,手术1,1;ZJ1,手术1,手术1,1"
83.9400,黏液囊抽吸术,"IJ1,手术1,手术1,1"
83.9600,黏液囊治疗性药物注入,"IJ1,手术1,手术1,1"
83.9901,黏液囊缝合术,"IJ1,手术1,手术1,1;PJ1,手术1,手术1,1;ZJ1,手术1,手术1,1"
84.0101,指关节离断术,"IF2,手术1,手术1,1;PJ1,手术1,手术1,1;ZC1,手术1,手术1,1;ZJ1,手术1,手术1,1"
84.0102,手指截断术，拇指除外,"IF2,手术1,手术1,1;PJ1,手术1,手术1,1;ZJ1,手术1,手术1,1"
84.0103,掌指关节离断术,"IF2,手术1,手术1,1;PJ1,手术1,手术1,1;ZC1,手术1,手术1,1;ZJ1,手术1,手术1,1"
84.0201,拇指截断术,"IF2,手术1,手术1,1;PJ1,手术1,手术1,1;ZC1,手术1,手术1,1;ZJ1,手术1,手术1,1"
84.0202,拇指关节离断术,"IF2,手术1,手术1,1;PJ1,手术1,手术1,1;ZC1,手术1,手术1,1;ZJ1,手术1,手术1,1"
84.0301,手截断术,"IF2,手术1,手术1,1;PJ1,手术1,手术1,1;ZC1,手术1,手术1,1"
84.0302,掌截断术,"IF2,手术1,手术1,1;PJ1,手术1,手术1,1;ZJ1,手术1,手术1,1"
84.0400,腕关节离断术,"IF2,手术1,手术1,1;PJ1,手术1,手术1,1;ZC1,手术1,手术1,1"
84.0500,经前臂截断术,"IF1,手术1,手术1,1;PJ1,手术1,手术1,1;ZC1,手术1,手术1,1"
84.0600,肘关节离断术,"IC3,手术1,手术1,1;PJ1,手术1,手术1,1;ZC1,手术1,手术1,1"
84.0701,上臂截断术,"IF1,手术1,手术1,1;PJ1,手术1,手术1,1;ZC1,手术1,手术1,1"
84.0800,肩关节离断术,"IC3,手术1,手术1,1;PJ1,手术1,手术1,1;ZC1,手术1,手术1,1"
84.1101,趾关节离断术,"ID1,手术1,手术1,1;ZC1,手术1,手术1,1;ZJ1,手术1,手术1,1"
84.1102,多趾截除术,"IF4,手术1,手术1,1;PJ1,手术1,手术1,1;ZJ1,手术1,手术1,1"
84.1103,跖骨头截断术,"IF4,手术1,手术1,1;PJ1,手术1,手术1,1;ZJ1,手术1,手术1,1"
84.1200,经足截断术,"IF4,手术1,手术1,1;ZC1,手术1,手术1,1;ZJ1,手术1,手术1,1"
84.1300,踝关节离断术,"IC3,手术1,手术1,1;ZC1,手术1,手术1,1;ZJ1,手术1,手术1,1"
84.1400,经胫骨和腓骨踝部的踝截断术,"IC3,手术1,手术1,1;ZC1,手术1,手术1,1"
84.1501,小腿截断术,"IF4,手术1,手术1,1;PJ1,手术1,手术1,1;ZJ1,手术1,手术1,1"
84.1600,膝关节离断术,"IC3,手术1,手术1,1;ZC1,手术1,手术1,1"
84.1701,大腿截断术,"IF3,手术1,手术1,1;ZC1,手术1,手术1,1"
84.1800,髋关节离断术,"IC3,手术1,手术1,1;PJ1,手术1,手术1,1;ZC1,手术1,手术1,1"
84.1901,半侧骨盆截断术,"IE1,手术1,手术1,1;PJ1,手术1,手术1,1;ZC1,手术1,手术1,1"
84.2101,拇指断指再植术,"IF2,手术1,手术1,1;PJ1,手术1,手术1,1;ZC1,手术1,手术1,1;ZJ1,手术1,手术1,1"
84.2201,手指断指再植术,"IF2,手术1,手术1,1;PJ1,手术1,手术1,1;ZC1,手术1,手术1,1;ZJ1,手术1,手术1,1"
84.2301,前臂断肢再植术,"IF1,手术1,手术1,1;PJ1,手术1,手术1,1;ZC1,手术1,手术1,1"
84.2302,断手再植术,"IC3,手术1,手术1,1;PJ1,手术1,手术1,1;ZC1,手术1,手术1,1"
84.2303,断腕再植术,"IC3,手术1,手术1,1;PJ1,手术1,手术1,1;ZC1,手术1,手术1,1"
84.2304,断掌再植术,"IC3,手术1,手术1,1;PJ1,手术1,手术1,1;ZC1,手术1,手术1,1;ZJ1,手术1,手术1,1"
84.2401,上臂断肢再植术,"IF1,手术1,手术1,1;PJ1,手术1,手术1,1;ZC1,手术1,手术1,1"
84.2501,断趾再植术,"IF4,手术1,手术1,1;PJ1,手术1,手术1,1;ZC1,手术1,手术1,1;ZJ1,手术1,手术1,1"
84.2601,断足再植术,"IC3,手术1,手术1,1;PJ1,手术1,手术1,1;ZC1,手术1,手术1,1;ZJ1,手术1,手术1,1"
84.2701,小腿断肢再植术,"IF4,手术1,手术1,1;PJ1,手术1,手术1,1;ZC1,手术1,手术1,1"
84.2801,大腿断肢再植术,"IC3,手术1,手术1,1;PJ1,手术1,手术1,1;ZC1,手术1,手术1,1"
84.2900,其他再附着,"IJ1,手术1,手术1,1"
84.3x00,截断残端的修复术,"IJ1,手术1,手术1,1;PJ1,手术1,手术1,1;ZJ1,手术1,手术1,1"
84.4101,上臂假体安装,"IF1,手术1,手术1,1"
84.4102,肩假体安装,"IF1,手术1,手术1,1"
84.4201,前臂假体安装,"IF1,手术1,手术1,1"
84.4202,手假体安装,"IF1,手术1,手术1,1"
84.4300,臂假体安装,"IF1,手术1,手术1,1"
84.4400,臂假体装置置入,"IJ1,手术1,手术1,1"
84.4500,膝上假体安装,"IC3,手术1,手术1,1"
84.4600,膝下假体安装,"IF4,手术1,手术1,1"
84.4700,小腿假体安装,"IF4,手术1,手术1,1"
84.4800,小腿假体装置置入,"IJ1,手术1,手术1,1"
84.5200,重组骨形态形成蛋白的置入,"IJ1,手术1,手术1,1;PJ1,手术1,手术1,1;ZJ1,手术1,手术1,1"
84.5300,肢体内部延长装置置入伴动力分离术,"IJ1,手术1,手术1,1;PJ1,手术1,手术1,1;ZC1,手术1,手术1,1"
84.5501,骨空隙骨水泥填充术,"IJ1,手术1,手术1,1;PJ1,手术1,手术1,1"
84.5601,关节腔隙骨水泥填充术,"IJ1,手术1,手术1,1;PJ1,手术1,手术1,1"
84.6001,人工椎间盘置换,"IB3,手术1,手术1,1"
84.6101,颈部分椎间盘置换,"IB3,手术1,手术1,1;PJ1,手术1,手术1,1;ZC1,手术1,手术1,1"
84.6201,颈全椎间盘假体置换,"IB3,手术1,手术1,1;PJ1,手术1,手术1,1;ZC1,手术1,手术1,1"
84.6301,胸椎间盘假体置换,"IB3,手术1,手术1,1;PJ1,手术1,手术1,1;ZC1,手术1,手术1,1"
84.6401,腰骶部分椎间盘假体置换,"IB3,手术1,手术1,1;PJ1,手术1,手术1,1;ZC1,手术1,手术1,1"
84.6500,腰骶全椎间盘假体置入,"IB3,手术1,手术1,1;PJ1,手术1,手术1,1;ZC1,手术1,手术1,1"
84.6501,腹腔镜辅助下腰椎前路椎间盘置换术,"IB3,手术1,手术1,1;PJ1,手术1,手术1,1;ZC1,手术1,手术1,1"
84.6601,颈人工椎间盘假体置换术,"IB3,手术1,手术1,1;PJ1,手术1,手术1,1;ZC1,手术1,手术1,1"
84.6701,胸人工椎间盘假体置换术,"IB3,手术1,手术1,1;PJ1,手术1,手术1,1;ZC1,手术1,手术1,1"
84.6801,腰人工椎间盘假体置换术,"IB3,手术1,手术1,1;PJ1,手术1,手术1,1;ZC1,手术1,手术1,1"
84.8001,棘突装置的置入,"IB3,手术1,手术1,1"
84.8002,棘突装置的置换,"IB3,手术1,手术1,1"
84.8100,棘突装置的修复术,"IB3,手术1,手术1,1"
84.8201,椎弓根动力稳定装置置入术,"IB3,手术1,手术1,1"
84.8202,椎弓根动力稳定装置置换术,"IB3,手术1,手术1,1"
84.8203,脊柱生长阀置入术,"IB3,手术1,手术1,1"
84.8204,脊柱生长阀置换术,"IB3,手术1,手术1,1"
84.8205,经皮椎弓根钉内固定术,"IB3,手术1,手术1,1"
84.8301,脊柱生长阀修复术,"IB3,手术1,手术1,1"
84.8401,椎骨关节面置换装置的置入,"IB3,手术1,手术1,1"
84.8402,椎骨关节面置换装置的置换,"IB3,手术1,手术1,1"
84.8500,椎骨关节面置换装置的修复术,"IB3,手术1,手术1,1"
84.9200,等份联体双胎分离术,"IJ1,手术1,手术1,1;PJ1,手术1,手术1,1"
84.9300,联体双胎不等份分离术,"IJ1,手术1,手术1,1;PJ1,手术1,手术1,1"
84.9400,胸骨插入刚性板固定装置,"IJ1,手术1,手术1,1"
84.9900,肌肉骨骼系统的其他手术,"IJ1,手术1,手术1,1"
85.0x01,乳房皮肤切开引流术,"JB3,手术1,手术1,1"
85.0x02,乳腺导管切开引流术,"JB3,手术1,手术1,1"
85.2101,乳房病损微创旋切术,"JB1,手术1,手术1,1;KJ1,手术1,手术1,1;PJ1,手术1,手术1,1;VJ1,手术1,手术1,1;ZJ1,手术1,手术1,1"
85.2200,乳房象限切除术,"JA1,手术1,手术1,手术2,2;JB1,手术1,手术1,1;VJ1,手术1,手术1,1;ZJ1,手术1,手术1,1"
85.2301,乳腺部分切除术,"JB1,手术1,手术1,1;VJ1,手术1,手术1,1;ZJ1,手术1,手术1,1"
85.2401,副乳腺切除术,"JB3,手术1,手术1,1;VJ1,手术1,手术1,1;ZJ1,手术1,手术1,1"
85.2402,副乳头切除术,"JB3,手术1,手术1,1;VJ1,手术1,手术1,1;ZJ1,手术1,手术1,1"
85.2500,乳头切除术,"JB3,手术1,手术1,1;VJ1,手术1,手术1,1;ZJ1,手术1,手术1,1"
85.3100,单侧缩小性乳房成形术,"JB1,手术1,手术1,1;KF1,手术1,手术1,1"
85.3200,双侧缩小性乳房成形术,"JB1,手术1,手术1,1;KE1,手术1,手术1,1"
85.3401,保留乳头的单侧皮下乳房切除术,"JB2,手术1,手术1,1;VJ1,手术1,手术1,1;ZJ1,手术1,手术1,1"
85.3601,保留乳头的双侧皮下乳房切除术,"JB2,手术1,手术1,1;PJ1,手术1,手术1,1;VJ1,手术1,手术1,1;ZJ1,手术1,手术1,1"
85.4301,单侧乳腺改良根治术,"JA1,手术1,手术1,手术2,2;JA2,手术1,手术1,诊断,2"
85.4302,单侧保乳乳腺改良根治术,"JA2,手术1,手术1,诊断,2"
85.4303,单侧单纯乳房切除术伴区域性淋巴结切除术,"JA2,手术1,手术1,诊断,2"
85.4401,双侧乳腺改良根治术,"JA1,手术1,手术1,手术2,2;JA2,手术1,手术1,诊断,2"
85.4402,双侧保乳乳腺改良根治术,"JA2,手术1,手术1,诊断,2"
85.4403,双侧单纯乳房切除术伴区域性淋巴结切除术,"JA2,手术1,手术1,诊断,2"
85.4500,单侧根治性乳房切除术,"JA1,手术1,手术1,手术2,2;JA2,手术1,手术1,诊断,2"
85.4501,腔镜单侧乳腺根治性切术,"JA2,手术1,手术1,诊断,2"
85.4600,双侧根治性乳房切除术,"JA1,手术1,手术1,手术2,2;JA2,手术1,手术1,诊断,2"
85.4700,单侧扩大根治性乳房切除术,"JA1,手术1,手术1,手术2,2;JA2,手术1,手术1,诊断,2"
85.4800,双侧扩大根治性乳房切除术,"JA1,手术1,手术1,手术2,2;JA2,手术1,手术1,诊断,2"
85.8100,乳房裂伤缝合术,"JB3,手术1,手术1,1;VJ1,手术1,手术1,1;ZJ1,手术1,手术1,1"
85.8200,中厚皮片移植至乳房,"JD1,手术1,手术1,1;VB1,手术1,手术1,1;WB1,手术1,手术1,诊断,2;WC1,手术1,手术1,1"
85.8300,全层皮片移植至乳房,"JD1,手术1,手术1,1;VB1,手术1,手术1,1;WB1,手术1,手术1,诊断,2;WC1,手术1,手术1,1"
85.8400,带蒂皮瓣移植至乳房,"JD1,手术1,手术1,1;VB1,手术1,手术1,1;WB1,手术1,手术1,诊断,2;WC1,手术1,手术1,1;ZJ1,手术1,手术1,1"
85.8500,肌瓣移植至乳房,"JD1,手术1,手术1,1;VB1,手术1,手术1,1;WB1,手术1,手术1,诊断,2;WC1,手术1,手术1,1;ZJ1,手术1,手术1,1"
85.8601,乳头乳晕移位术,"JB1,手术1,手术1,1;VJ1,手术1,手术1,1;ZJ1,手术1,手术1,1"
85.8701,乳头成形术,"JB1,手术1,手术1,1;VJ1,手术1,手术1,1;ZJ1,手术1,手术1,1"
85.8702,乳头重建术,"JB1,手术1,手术1,1;VJ1,手术1,手术1,1;ZJ1,手术1,手术1,1"
85.8901,乳晕缩小术,"JB1,手术1,手术1,1"
85.9100,乳房抽吸术,"JB3,手术1,手术1,1;VJ1,手术1,手术1,1;ZJ1,手术1,手术1,1"
85.9300,乳房植入物修复术,"JB1,手术1,手术1,1"
85.9400,去除乳房植入物,"JB1,手术1,手术1,1"
85.9500,乳房组织扩张器置入,"JB1,手术1,手术1,1"
85.9600,乳房组织扩张器去除,"JB1,手术1,手术1,1"
85.9900,乳房其他手术,"JB3,手术1,手术1,1"
86.0201,文身,"JJ1,手术1,手术1,1"
86.0202,皮肤硅胶填充术,"JJ1,手术1,手术1,1"
86.0301,藏毛窦切开术,"JJ1,手术1,手术1,1"
86.0302,藏毛囊肿切开术,"JJ1,手术1,手术1,1"
86.0401,创面封闭式负压引流术（VSD),"JJ1,手术1,手术1,1"
86.0402,男性会阴切开引流术,"MJ1,手术1,手术1,1"
86.0501,皮下神经刺激器去除,"BJ1,手术1,手术1,1;JJ1,手术1,手术1,1"
86.0502,皮肤和皮下组织异物切开取出术,"JJ1,手术1,手术1,1"
86.0503,皮肤组织扩张器取出术,"JJ1,手术1,手术1,1"
86.0601,输注泵置入术,"JJ1,手术1,手术1,1"
86.0603,化疗泵置入术,"JJ1,手术1,手术1,1"
86.0701,静脉输液港植入术,"FJ1,手术1,手术1,1"
86.0901,皮肤焦痂切开术,"JJ1,手术1,手术1,1"
86.0902,皮肤窦道切开术,"JJ1,手术1,手术1,1"
86.0903,甲切开术,"JJ1,手术1,手术1,1"
86.1100,皮肤和皮下组织的活组织检查,"JJ1,手术1,手术1,1;RA2,手术1,手术1,诊断,2;RA4,手术1,手术1,诊断,2"
86.2101,藏毛囊肿切除术,"JJ1,手术1,手术1,1"
86.2102,藏毛窦切除术,"JJ1,手术1,手术1,1"
86.2201,皮肤伤口切除性清创术,"CD2,手术1,手术1,1;JD2,手术1,手术1,1"
86.2202,焦痂切除术,"JD2,手术1,手术1,1"
86.2301,指(趾)甲去除术,"JJ1,手术1,手术1,1;VJ1,手术1,手术1,1"
86.2500,磨皮术,"JJ1,手术1,手术1,1"
86.2601,多余指切除术,"JJ1,手术1,手术1,1"
86.2602,多余趾切除术,"JJ1,手术1,手术1,1"
86.2701,甲床清创术,"JJ1,手术1,手术1,1"
86.3x01,皮肤瘢痕切除术,"JJ1,手术1,手术1,1"
86.3x02,皮肤病损切除术,"JJ1,手术1,手术1,1"
86.3x03,皮下组织病损切除术,"JJ1,手术1,手术1,1"
86.3x04,男性会阴病损切除术,"MJ1,手术1,手术1,1"
86.3x05,腋嗅切除术,"JJ1,手术1,手术1,1"
86.3x06,皮肤Z型成形伴病损切除术,"JJ1,手术1,手术1,1"
86.3x07,文身切除术,"JJ1,手术1,手术1,1"
86.3x08,汗腺病损切除术,"JJ1,手术1,手术1,1"
86.3x09,皮肤病损冷冻治疗,"JJ1,手术1,手术1,1"
86.3x10,皮肤病损烧灼治疗,"JJ1,手术1,手术1,1"
86.3x11,皮肤病损电灼治疗,"JJ1,手术1,手术1,1"
86.3x12,皮肤病损激光治疗,"JC1,手术1,手术1,1"
86.3x13,颈部皮下组织病损切除术,"JC1,手术1,手术1,1"
86.3x14,皮肤色素痣切除术,"JC1,手术1,手术1,1"
86.3x15,皮肤及皮下血管瘤切除术,"JC1,手术1,手术1,1"
86.3x16,瘢痕单纯切除Z字改形修复术,"JC1,手术1,手术1,1"
86.4x01,头.面.颈皮肤病损根治切除术,"CD2,手术1,手术1,1;DA1,手术1,手术1,诊断,2;JJ1,手术1,手术1,1;VJ1,手术1,手术1,1;ZJ1,手术1,手术1,1"
86.4x02,躯干皮肤病损根治性切除术,"DA1,手术1,手术1,诊断,2;JJ1,手术1,手术1,1;VJ1,手术1,手术1,1;ZJ1,手术1,手术1,1"
86.4x03,肢体皮肤病损根治切除术,"JJ1,手术1,手术1,1;VJ1,手术1,手术1,1;ZJ1,手术1,手术1,1"
86.5100,头皮再植术,"JD1,手术1,手术1,1;VB1,手术1,手术1,1;ZJ1,手术1,手术1,1"
86.5901,伤口裂开缝合术,"JJ1,手术1,手术1,1"
86.5902,头皮缝合术,"JJ1,手术1,手术1,1;ZJ1,手术1,手术1,1"
86.5903,男性会阴皮肤缝合术,"MJ1,手术1,手术1,1"
86.6101,手全厚皮片游离移植术,"JD1,手术1,手术1,1;VB1,手术1,手术1,1;WB1,手术1,手术1,诊断,2;WC1,手术1,手术1,1;ZJ1,手术1,手术1,1"
86.6201,手中厚皮片游离移植术,"JD1,手术1,手术1,1;VB1,手术1,手术1,1;WB1,手术1,手术1,诊断,2;WC1,手术1,手术1,1;ZJ1,手术1,手术1,1"
86.6202,手刃厚皮片游离移植术,"JD1,手术1,手术1,1;VB1,手术1,手术1,1;WB1,手术1,手术1,诊断,2;WC1,手术1,手术1,1;ZJ1,手术1,手术1,1"
86.6301,头面颈全厚皮片移植术,"JD1,手术1,手术1,1;KF1,手术1,手术1,1;VB1,手术1,手术1,1;WB1,手术1,手术1,诊断,2;WC1,手术1,手术1,1;ZJ1,手术1,手术1,1"
86.6302,躯干全厚皮片移植术,"JD1,手术1,手术1,1;KF1,手术1,手术1,1;VB1,手术1,手术1,1;WB1,手术1,手术1,诊断,2;WC1,手术1,手术1,1;ZJ1,手术1,手术1,1"
86.6303,上肢全厚皮片移植术,"JD1,手术1,手术1,1;KF1,手术1,手术1,1;VB1,手术1,手术1,1;WB1,手术1,手术1,诊断,2;WC1,手术1,手术1,1;ZJ1,手术1,手术1,1"
86.6304,下肢全厚皮片移植术,"JD1,手术1,手术1,1;KF1,手术1,手术1,1;VB1,手术1,手术1,1;WB1,手术1,手术1,诊断,2;WC1,手术1,手术1,1;ZJ1,手术1,手术1,1"
86.6501,猪皮移植术,"JD1,手术1,手术1,1;VB1,手术1,手术1,1;WB1,手术1,手术1,诊断,2;WC1,手术1,手术1,1;ZJ1,手术1,手术1,1"
86.6601,同种皮片移植术,"JD1,手术1,手术1,1;VB1,手术1,手术1,1;WB1,手术1,手术1,诊断,2;WC1,手术1,手术1,1;ZJ1,手术1,手术1,1"
86.6701,脱细胞异体真皮植皮术,"JD1,手术1,手术1,1;KF1,手术1,手术1,1;VB1,手术1,手术1,1;WB1,手术1,手术1,诊断,2;WC1,手术1,手术1,1;ZJ1,手术1,手术1,1"
86.6702,人工皮肤移植术,"JD1,手术1,手术1,1;KF1,手术1,手术1,1;VB1,手术1,手术1,1;WB1,手术1,手术1,诊断,2;WC1,手术1,手术1,1;ZJ1,手术1,手术1,1"
86.6901,刃厚皮片移植术,"JD1,手术1,手术1,1;VB1,手术1,手术1,1;WB1,手术1,手术1,诊断,2;WC1,手术1,手术1,1;ZJ1,手术1,手术1,1"
86.6902,中厚皮片移植术,"JD1,手术1,手术1,1;VB1,手术1,手术1,1;ZJ1,手术1,手术1,1"
86.6903,头面颈部植皮术,"JD1,手术1,手术1,1;KF1,手术1,手术1,1;VB1,手术1,手术1,1;WB1,手术1,手术1,诊断,2;WC1,手术1,手术1,1;ZJ1,手术1,手术1,1"
86.6904,躯干部植皮术,"JD1,手术1,手术1,1;KF1,手术1,手术1,1;VB1,手术1,手术1,1;WB1,手术1,手术1,诊断,2;WC1,手术1,手术1,1;ZJ1,手术1,手术1,1"
86.6905,上肢植皮术,"JD1,手术1,手术1,1;KF1,手术1,手术1,1;VB1,手术1,手术1,1;WB1,手术1,手术1,诊断,2;WC1,手术1,手术1,1;ZJ1,手术1,手术1,1"
86.6906,下肢植皮术,"JD1,手术1,手术1,1;KF1,手术1,手术1,1;VB1,手术1,手术1,1;WB1,手术1,手术1,诊断,2;WC1,手术1,手术1,1;ZJ1,手术1,手术1,1"
86.7101,带蒂皮瓣断蒂术,"JD1,手术1,手术1,1;KF1,手术1,手术1,1;VB1,手术1,手术1,1;WB1,手术1,手术1,诊断,2;WC1,手术1,手术1,1;ZJ1,手术1,手术1,1"
86.7102,皮管成形术,"JD1,手术1,手术1,1;KF1,手术1,手术1,1;VB1,手术1,手术1,1;WB1,手术1,手术1,诊断,2;WC1,手术1,手术1,1;ZJ1,手术1,手术1,1"
86.7103,带蒂皮瓣延迟术,"JD1,手术1,手术1,1;KF1,手术1,手术1,1;VB1,手术1,手术1,1;WB1,手术1,手术1,诊断,2;WC1,手术1,手术1,1;ZJ1,手术1,手术1,1"
86.7104,腹部埋藏皮瓣术,"JD1,手术1,手术1,1;KF1,手术1,手术1,1;VB1,手术1,手术1,1;WB1,手术1,手术1,诊断,2;WC1,手术1,手术1,1;ZJ1,手术1,手术1,1"
86.7105,带蒂皮瓣制备术,"JD1,手术1,手术1,1;KF1,手术1,手术1,1;VB1,手术1,手术1,1;WB1,手术1,手术1,诊断,2;WC1,手术1,手术1,1;ZJ1,手术1,手术1,1"
86.7301,邻指皮瓣术,"JD1,手术1,手术1,1;VB1,手术1,手术1,1;WB1,手术1,手术1,诊断,2;WC1,手术1,手术1,1;ZJ1,手术1,手术1,1"
86.7302,鱼际皮瓣术,"JD1,手术1,手术1,1;VB1,手术1,手术1,1;WB1,手术1,手术1,诊断,2;WC1,手术1,手术1,1;ZJ1,手术1,手术1,1"
86.7303,指蹼成形术,"JD1,手术1,手术1,1;VB1,手术1,手术1,1;WB1,手术1,手术1,诊断,2;WC1,手术1,手术1,1;ZJ1,手术1,手术1,1"
86.7401,前徙皮瓣移植术,"JD1,手术1,手术1,1;KF1,手术1,手术1,1;VB1,手术1,手术1,1;WB1,手术1,手术1,诊断,2;WC1,手术1,手术1,1;ZJ1,手术1,手术1,1"
86.7402,滑动皮瓣移植术,"JD1,手术1,手术1,1;KF1,手术1,手术1,1;VB1,手术1,手术1,1;WB1,手术1,手术1,诊断,2;WC1,手术1,手术1,1;ZJ1,手术1,手术1,1"
86.7403,双带蒂皮瓣移植术,"JD1,手术1,手术1,1;KF1,手术1,手术1,1;VB1,手术1,手术1,1;WB1,手术1,手术1,诊断,2;WC1,手术1,手术1,1;ZJ1,手术1,手术1,1"
86.7404,旋转皮瓣移植术,"JD1,手术1,手术1,1;KF1,手术1,手术1,1;VB1,手术1,手术1,1;WB1,手术1,手术1,诊断,2;WC1,手术1,手术1,1;ZJ1,手术1,手术1,1"
86.7405,管状皮瓣移植术,"JD1,手术1,手术1,1;KF1,手术1,手术1,1;VB1,手术1,手术1,1;ZJ1,手术1,手术1,1"
86.7406,面部洞穿性缺损修复术,"DJ1,手术1,手术1,1"
86.7407,颌面局部皮瓣转移术,"DJ1,手术1,手术1,1"
86.7501,皮瓣清创术,"JD1,手术1,手术1,1;KF1,手术1,手术1,1;VB1,手术1,手术1,1;WB1,手术1,手术1,诊断,2;WC1,手术1,手术1,1;ZJ1,手术1,手术1,1"
86.7502,皮瓣去脂术,"JD1,手术1,手术1,1;VB1,手术1,手术1,1;WB1,手术1,手术1,诊断,2;WC1,手术1,手术1,1;ZJ1,手术1,手术1,1"
86.7503,皮瓣修整术,"JD1,手术1,手术1,1;KF1,手术1,手术1,1;VB1,手术1,手术1,1;WB1,手术1,手术1,诊断,2;WC1,手术1,手术1,1;ZJ1,手术1,手术1,1"
86.7504,复杂性皮瓣、肌皮瓣、超薄皮瓣修复术,"JD1,手术1,手术1,1;VB1,手术1,手术1,1;WB1,手术1,手术1,诊断,2;WC1,手术1,手术1,1;ZJ1,手术1,手术1,1"
86.8201,面部提升术,"JC1,手术1,手术1,1"
86.8202,多层除皱术,"JC1,手术1,手术1,1"
86.8203,骨膜下面部除皱术,"JC1,手术1,手术1,1"
86.8301,吸脂术,"JC1,手术1,手术1,1;KE1,手术1,手术1,1"
86.8302,腹部吸脂术,"JC1,手术1,手术1,1;KE1,手术1,手术1,1"
86.8303,臀部吸脂术,"JC1,手术1,手术1,1;KE1,手术1,手术1,1"
86.8304,大腿吸脂术,"JC1,手术1,手术1,1;KE1,手术1,手术1,1"
86.8305,腹壁整形术,"JC1,手术1,手术1,1;KE1,手术1,手术1,1"
86.8306,腹壁去脂术,"JC1,手术1,手术1,1;KE1,手术1,手术1,1"
86.8401,皮肤瘢痕松解术,"JC1,手术1,手术1,1"
86.8402,皮肤蹼状挛缩松解术,"JC1,手术1,手术1,1;ZJ1,手术1,手术1,1"
86.8403,皮肤Z型成形术,"JC1,手术1,手术1,1"
86.8501,并指矫正术,"IF2,手术1,手术1,1"
86.8502,并趾矫正术,"IF4,手术1,手术1,1"
86.8701,自体脂肪移植术,"JC1,手术1,手术1,1;VJ1,手术1,手术1,1;ZJ1,手术1,手术1,1"
86.8702,颞部脂肪移植充填术,"DJ1,手术1,手术1,1;JC1,手术1,手术1,1;VJ1,手术1,手术1,1;ZJ1,手术1,手术1,1"
86.8901,皮肤V-Y缝合术,"JC1,手术1,手术1,1;VJ1,手术1,手术1,1;ZJ1,手术1,手术1,1"
86.8902,“酒窝”成形术,"JC1,手术1,手术1,1;VJ1,手术1,手术1,1;ZJ1,手术1,手术1,1"
86.9201,除毛术,"JJ1,手术1,手术1,1"
86.9301,皮肤扩张器植入术,"DJ1,手术1,手术1,1;JD1,手术1,手术1,1;KF1,手术1,手术1,1;VB1,手术1,手术1,1;WB1,手术1,手术1,诊断,2;WC1,手术1,手术1,1"
86.9302,皮肤扩张器调整术,"DJ1,手术1,手术1,1;JD1,手术1,手术1,1;KF1,手术1,手术1,1;VB1,手术1,手术1,1;WB1,手术1,手术1,诊断,2;WC1,手术1,手术1,1"
86.9303,头皮扩张器植入术,"JD1,手术1,手术1,1;KF1,手术1,手术1,1;VB1,手术1,手术1,1;WB1,手术1,手术1,诊断,2;WC1,手术1,手术1,1"
86.9304,耳后扩张器植入术,"DJ1,手术1,手术1,1;JD1,手术1,手术1,1;KF1,手术1,手术1,1;VB1,手术1,手术1,1;WB1,手术1,手术1,诊断,2;WC1,手术1,手术1,1"
86.9305,肢体皮肤扩张器植入术,"JD1,手术1,手术1,1;KF1,手术1,手术1,1;VB1,手术1,手术1,1;WB1,手术1,手术1,诊断,2;WC1,手术1,手术1,1"
86.9306,躯干皮肤扩张器植入术,"JD1,手术1,手术1,1;KF1,手术1,手术1,1;VB1,手术1,手术1,1;WB1,手术1,手术1,诊断,2;WC1,手术1,手术1,1"
86.9401,单列神经刺激脉冲发生器的置入,"BD2,手术1,手术1,1;IB3,手术1,手术1,1"
86.9402,单列神经刺激脉冲发生器的置换,"BD2,手术1,手术1,1;IB3,手术1,手术1,1"
86.9501,双列神经刺激脉冲发生器的置入,"BD2,手术1,手术1,1"
86.9502,双列神经刺激脉冲发生器的置换,"BD2,手术1,手术1,1"
